Link,Cshape,Geom1,Geom2,Geom3,Geom4,Barrels,Culvert
SWD4031568,CIRCULAR,0.75,0,0,0,1, 
SWD4031571,CIRCULAR,0.9,0,0,0,1, 
SWD4031572,CIRCULAR,0.9,0,0,0,1, 
SWD4031585,CIRCULAR,0.825,0,0,0,1, 
SWD4031587,CIRCULAR,0.825,0,0,0,1, 
SWD4031588,CIRCULAR,1.2,0,0,0,1, 
SWD4031590,CIRCULAR,1.275,0,0,0,1, 
SWD4031981,CIRCULAR,0.6,0,0,0,1, 
SWD4031982,CIRCULAR,0.75,0,0,0,1, 
SWD4031315,CIRCULAR,1.35,0,0,0,1, 
SWD4031618,CIRCULAR,0.225,0,0,0,1, 
SWD4031384,CIRCULAR,0.1,0,0,0,1, 
SWD4031275,CIRCULAR,0.45,0,0,0,1, 
SWD4032493,CIRCULAR,0.45,0,0,0,1, 
SWD4031285,CIRCULAR,0.525,0,0,0,1, 
SWD4031429,CIRCULAR,1.05,0,0,0,1, 
SWD4031430,CIRCULAR,1.05,0,0,0,1, 
SWD4031431,CIRCULAR,1.2,0,0,0,1, 
SWD4031435,CIRCULAR,1.2,0,0,0,1, 
SWD4032494,CIRCULAR,0.225,0,0,0,1, 
SWD4031452,CIRCULAR,0.45,0,0,0,1, 
SWD4031453,CIRCULAR,0.45,0,0,0,1, 
SWD4031455,CIRCULAR,0.525,0,0,0,1, 
SWD4031456,CIRCULAR,0.525,0,0,0,1, 
SWD4031591,CIRCULAR,1.275,0,0,0,1, 
SWD4031593,CIRCULAR,0.3,0,0,0,1, 
SWD4031594,CIRCULAR,0.525,0,0,0,1, 
SWD4031436,CIRCULAR,1.35,0,0,0,1, 
SWD4031438,CIRCULAR,0.6,0,0,0,1, 
SWD4031441,CIRCULAR,0.6,0,0,0,1, 
SWD4031442,CIRCULAR,0.6,0,0,0,1, 
SWD4031446,CIRCULAR,0.375,0,0,0,1, 
SWD4031449,CIRCULAR,0.375,0,0,0,1, 
SWD4031450,CIRCULAR,0.45,0,0,0,1, 
SWD4036083,CIRCULAR,0.375,0,0,0,1, 
SWD4042094,CIRCULAR,0.225,0,0,0,1, 
SWD4042095,CIRCULAR,0.825,0,0,0,1, 
SWD4062129,CIRCULAR,0.75,0,0,0,1, 
SWD4062131,CIRCULAR,0.75,0,0,0,1, 
SWD4062132,CIRCULAR,0.75,0,0,0,1, 
SWD4062133,CIRCULAR,0.75,0,0,0,1, 
SWD4062136,CIRCULAR,0.6,0,0,0,1, 
SWD4069591,CIRCULAR,1.2,0,0,0,1, 
SWD4065616,CIRCULAR,0.825,0,0,0,1, 
SWD4065604,CIRCULAR,0.825,0,0,0,1, 
SWD4065606,CIRCULAR,0.825,0,0,0,1, 
SWD4065608,CIRCULAR,0.525,0,0,0,1, 
SWD4065609,CIRCULAR,0.675,0,0,0,1, 
SWD4065612,CIRCULAR,0.675,0,0,0,1, 
SWD4062143,CIRCULAR,0.6,0,0,0,1, 
SWD4062148,CIRCULAR,0.6,0,0,0,1, 
SWD4068001,CIRCULAR,0.15,0,0,0,1, 
SWD4068006,CIRCULAR,1.35,0,0,0,1, 
SWD4065613,CIRCULAR,0.675,0,0,0,1, 
SWD4065615,CIRCULAR,0.825,0,0,0,1, 
SWD4069660,CIRCULAR,0.375,0,0,0,1, 
SWD4069656,CIRCULAR,0.825,0,0,0,1, 
SWD4070002,CIRCULAR,0.6,0,0,0,1, 
SWD4070003,CIRCULAR,0.6,0,0,0,1, 
SWD4069900,CIRCULAR,1.35,0,0,0,1, 
SWD4068007,CIRCULAR,0.3,0,0,0,1, 
SWD4068003,CIRCULAR,0.225,0,0,0,1, 
SWD4072981,CIRCULAR,0.6,0,0,0,1, 
SWD4082262,CIRCULAR,1.2,0,0,0,1, 
SWD4082263,CIRCULAR,1.2,0,0,0,1, 
SWD4082264,CIRCULAR,1.2,0,0,0,1, 
SWD4082265,CIRCULAR,1.2,0,0,0,1, 
SWD4082270,CIRCULAR,1.2,0,0,0,1, 
SWD4082271,CIRCULAR,1.2,0,0,0,1, 
SWD4082272,CIRCULAR,1.2,0,0,0,1, 
SWD4082276,CIRCULAR,1.2,0,0,0,1, 
SWD4082277,CIRCULAR,1.2,0,0,0,1, 
SWD4082278,CIRCULAR,1.2,0,0,0,1, 
SWD4082281,CIRCULAR,1.2,0,0,0,1, 
SWD4082282,CIRCULAR,1.5,0,0,0,1, 
SWD4082274,CIRCULAR,1.2,0,0,0,1, 
SWD4082280,CIRCULAR,1.2,0,0,0,1, 
SWD4082275,CIRCULAR,1.2,0,0,0,1, 
SWD4082261,CIRCULAR,1.2,0,0,0,1, 
SWD4082266,CIRCULAR,1.2,0,0,0,1, 
SWD4082267,CIRCULAR,1.2,0,0,0,1, 
SWD4082268,CIRCULAR,1.2,0,0,0,1, 
SWD4082269,CIRCULAR,1.2,0,0,0,1, 
SWD4081004,CIRCULAR,0.375,0,0,0,1, 
SWD4081000,CIRCULAR,0.225,0,0,0,1, 
SWD4081001,CIRCULAR,0.225,0,0,0,1, 
SWD4081002,CIRCULAR,0.6,0,0,0,1, 
SWD4081003,CIRCULAR,0.6,0,0,0,1, 
SWD4086064,CIRCULAR,0.3,0,0,0,1, 
SWD4094826,CIRCULAR,0.15,0,0,0,1, 
SWD4100260,CIRCULAR,0.6,0,0,0,1, 
SWD4097921,CIRCULAR,0.75,0,0,0,1, 
SWD4093340,CIRCULAR,0.25,0,0,0,1, 
SWD4096300,CIRCULAR,0.25,0,0,0,1, 
SWD4098660,CIRCULAR,0.45,0,0,0,1, 
SWD4094804,CIRCULAR,0.375,0,0,0,1, 
SWD4099362,CIRCULAR,0.525,0,0,0,1, 
SWD4095504,CIRCULAR,0.225,0,0,0,1, 
SWD4094803,CIRCULAR,0.15,0,0,0,1, 
SWD4100267,CIRCULAR,0.6,0,0,0,1, 
SWD4100266,CIRCULAR,0.6,0,0,0,1, 
SWD4100265,CIRCULAR,0.6,0,0,0,1, 
SWD4100262,CIRCULAR,0.6,0,0,0,1, 
SWD4097502,CIRCULAR,0.375,0,0,0,1, 
SWD4013554,CIRCULAR,0.225,0,0,0,1, 
SWD4013557,CIRCULAR,0.225,0,0,0,1, 
SWD4098591,CIRCULAR,0.6,0,0,0,1, 
SWD4098592,CIRCULAR,0.6,0,0,0,1, 
SWD4069592,CIRCULAR,0.975,0,0,0,1, 
SWD4069574,CIRCULAR,1.125,0,0,0,1, 
SWD4062146,CIRCULAR,0.225,0,0,0,1, 
SWD4070001,CIRCULAR,0.75,0,0,0,1, 
SWD4082273,CIRCULAR,1.2,0,0,0,1, 
SWD4082279,CIRCULAR,1.2,0,0,0,1, 
SWD4100264,CIRCULAR,0.6,0,0,0,1, 
SWD4094805,CIRCULAR,0.225,0,0,0,1, 
SWD4068004,CIRCULAR,1.35,0,0,0,1, 
SWD4031507,CIRCULAR,0.45,0,0,0,1, 
SWD4031517,CIRCULAR,0.225,0,0,0,1, 
SWD4032031,CIRCULAR,0.6,0,0,0,1, 
SWD4032561,CIRCULAR,1.05,0,0,0,1, 
SWD4032036,CIRCULAR,0.45,0,0,0,1, 
SWD4032039,CIRCULAR,0.6,0,0,0,1, 
SWD4032042,CIRCULAR,0.75,0,0,0,1, 
SWD4032045,CIRCULAR,0.9,0,0,0,1, 
SWD4032049,CIRCULAR,1.05,0,0,0,1, 
SWD4032052,CIRCULAR,1.05,0,0,0,1, 
SWD4031674,CIRCULAR,0.3,0,0,0,1, 
SWD4031687,CIRCULAR,0.825,0,0,0,1, 
SWD4031690,CIRCULAR,0.825,0,0,0,1, 
SWD4031603,CIRCULAR,0.45,0,0,0,1, 
SWD4031606,CIRCULAR,0.525,0,0,0,1, 
SWD4031609,CIRCULAR,0.75,0,0,0,1, 
SWD4031613,CIRCULAR,0.3,0,0,0,1, 
SWD4031408,CIRCULAR,0.225,0,0,0,1, 
SWD4031277,CIRCULAR,0.45,0,0,0,1, 
SWD4031600,CIRCULAR,1.125,0,0,0,1, 
SWD4031461,CIRCULAR,0.525,0,0,0,1, 
SWD4031464,CIRCULAR,0.9,0,0,0,1, 
SWD4031468,CIRCULAR,0.45,0,0,0,1, 
SWD4031472,CIRCULAR,0.45,0,0,0,1, 
SWD4031480,CIRCULAR,0.3,0,0,0,1, 
SWD4032013,CIRCULAR,0.75,0,0,0,1, 
SWD4031484,CIRCULAR,0.225,0,0,0,1, 
SWD4031487,CIRCULAR,0.3,0,0,0,1, 
SWD4031500,CIRCULAR,0.375,0,0,0,1, 
SWD4031503,CIRCULAR,0.45,0,0,0,1, 
SWD4032106,CIRCULAR,0.675,0,0,0,1, 
SWD4032113,CIRCULAR,0.825,0,0,0,1, 
SWD4032472,CIRCULAR,0.15,0,0,0,1, 
SWD4032016,CIRCULAR,1.05,0,0,0,1, 
SWD4032019,CIRCULAR,1.05,0,0,0,1, 
SWD4032073,CIRCULAR,1.35,0,0,0,1, 
SWD4032075,CIRCULAR,1.35,0,0,0,1, 
SWD4032086,CIRCULAR,0.6,0,0,0,1, 
SWD4032092,CIRCULAR,0.45,0,0,0,1, 
SWD4032177,CIRCULAR,0.3,0,0,0,1, 
SWD4025968,CIRCULAR,0.375,0,0,0,1, 
SWD4025972,CIRCULAR,0.45,0,0,0,1, 
SWD4103260,CIRCULAR,0.45,0,0,0,1, 
SWD4103262,CIRCULAR,0.3,0,0,0,1, 
SWD4036081,CIRCULAR,0.225,0,0,0,1, 
SWD4031524,CIRCULAR,0.75,0,0,0,1, 
SWD4031928,CIRCULAR,0.375,0,0,0,1, 
SWD4032709,CIRCULAR,0.3,0,0,0,1, 
SWD4031273,CIRCULAR,0.45,0,0,0,1, 
SWD4109723,CIRCULAR,0.225,0,0,0,1, 
SWD4031538,CIRCULAR,0.45,0,0,0,1, 
SWD4100261,CIRCULAR,0.6,0,0,0,1, 
SWD4115249,CIRCULAR,0.225,0,0,0,1, 
SWD4065611,CIRCULAR,0.675,0,0,0,1, 
SWD4115243,CIRCULAR,0.75,0,0,0,1, 
SWD4095501,CIRCULAR,0.225,0,0,0,1, 
SWD4032468,CIRCULAR,0.225,0,0,0,1, 
SWD4031308,CIRCULAR,1.35,0,0,0,1, 
SWD4032066,CIRCULAR,0.825,0,0,0,1, 
SWD4031443,CIRCULAR,0.6,0,0,0,1, 
SWD4113765,CIRCULAR,0.15,0,0,0,1, 
SWD4031933,CIRCULAR,0.45,0,0,0,1, 
SWD4031938,CIRCULAR,0.6,0,0,0,1, 
SWD4115532,CIRCULAR,0.375,0,0,0,1, 
SWD4115531,CIRCULAR,0.45,0,0,0,1, 
SWD4115535,CIRCULAR,0.225,0,0,0,1, 
SWD4116460,CIRCULAR,0.15,0,0,0,1, 
SWD4116462,CIRCULAR,0.225,0,0,0,1, 
SWD4116461,CIRCULAR,0.825,0,0,0,1, 
SWD4116463,CIRCULAR,0.825,0,0,0,1, 
SWD4135981,CIRCULAR,0.225,0,0,0,1, 
SWD4135982,CIRCULAR,0.225,0,0,0,1, 
SWD4136060,CIRCULAR,0.375,0,0,0,1, 
SWD4032107,CIRCULAR,0.45,0,0,0,1, 
SWD4031550,CIRCULAR,0.15,0,0,0,1, 
SWD4068008,CIRCULAR,0.225,0,0,0,1, 
SWD4032010,CIRCULAR,0.375,0,0,0,1, 
SWD4032464,CIRCULAR,0.225,0,0,0,1, 
SWD4031422,CIRCULAR,0.525,0,0,0,1, 
SWD4031697,CIRCULAR,0.3,0,0,0,1, 
SWD40316101,CIRCULAR,0.225,0,0,0,1, 
SWD4031934,CIRCULAR,0.525,0,0,0,1, 
SWD4115250,CIRCULAR,0.15,0,0,0,1, 
SWD4115251,CIRCULAR,0.45,0,0,0,1, 
SWD4115252,CIRCULAR,0.6,0,0,0,1, 
SWD4115601,CIRCULAR,0.375,0,0,0,1, 
SWD4115602,CIRCULAR,0.3,0,0,0,1, 
SWD4031605,CIRCULAR,0.525,0,0,0,1, 
SWD4031302,CIRCULAR,1.35,0,0,0,1, 
SWD4036082,CIRCULAR,0.225,0,0,0,1, 
SWD4032041,CIRCULAR,0.675,0,0,0,1, 
SWD4031515,CIRCULAR,0.375,0,0,0,1, 
SWD4031569,CIRCULAR,0.75,0,0,0,1, 
SWD4032060,CIRCULAR,0.375,0,0,0,1, 
SWD4032500,CIRCULAR,0.375,0,0,0,1, 
SWD4117242,CIRCULAR,0.75,0,0,0,1, 
SWD4032059,CIRCULAR,0.45,0,0,0,1, 
SWD4031393,CIRCULAR,0.3,0,0,0,1, 
SWD4031592,CIRCULAR,0.3,0,0,0,1, 
SWD4095521,CIRCULAR,0.225,0,0,0,1, 
SWD4031403,CIRCULAR,0.375,0,0,0,1, 
SWD4031693,CIRCULAR,0.825,0,0,0,1, 
SWD4031439,CIRCULAR,0.3,0,0,0,1, 
SWD4062128,CIRCULAR,0.225,0,0,0,1, 
SWD4072980,CIRCULAR,0.15,0,0,0,1, 
SWD4031280,CIRCULAR,0.45,0,0,0,1, 
SWD4032022,CIRCULAR,1.05,0,0,0,1, 
SWD4031282,CIRCULAR,0.45,0,0,0,1, 
SWD4032574,CIRCULAR,0.75,0,0,0,1, 
SWD4032025,CIRCULAR,0.225,0,0,0,1, 
SWD4031492,CIRCULAR,0.225,0,0,0,1, 
SWD4115140,CIRCULAR,0.3,0,0,0,1, 
SWD4031427,CIRCULAR,1.05,0,0,0,1, 
SWD4089020,CIRCULAR,0.225,0,0,0,1, 
SWD4031995,CIRCULAR,1.05,0,0,0,1, 
SWD4031923,CIRCULAR,0.3,0,0,0,1, 
SWD4065602,CIRCULAR,0.45,0,0,0,1, 
SWD4031578,CIRCULAR,0.225,0,0,0,1, 
SWD4136288,CIRCULAR,0.15,0,0,0,1, 
SWD4116440,CIRCULAR,0.825,0,0,0,1, 
SWD4136319,CIRCULAR,0.5,0,0,0,1, 
SWD4136323,CIRCULAR,0.5,0,0,0,1, 
SWD4136320,CIRCULAR,0.5,0,0,0,1, 
SWD41243411,CIRCULAR,0.375,0,0,0,1, 
SWD4136972,CIRCULAR,1.275,0,0,0,1, 
SWD4136975,CIRCULAR,0.6,0,0,0,1, 
SWD4136976,CIRCULAR,0.6,0,0,0,1, 
SWD4136977,CIRCULAR,0.6,0,0,0,1, 
SWD4082260,CIRCULAR,1.2,0,0,0,1, 
SWD4031531,CIRCULAR,0.225,0,0,0,1, 
SWD4031570,CIRCULAR,0.75,0,0,0,1, 
SWD4031510,CIRCULAR,0.375,0,0,0,1, 
SWD4031379,CIRCULAR,0.15,0,0,0,1, 
SWD4031700,CIRCULAR,0.45,0,0,0,1, 
SWD4031490,CIRCULAR,0.45,0,0,0,1, 
SWD4032489,CIRCULAR,0.375,0,0,0,1, 
SWD4031996,CIRCULAR,1.05,0,0,0,1, 
SWD4031628,CIRCULAR,0.3,0,0,0,1, 
SWD4031309,CIRCULAR,0.3,0,0,0,1, 
SWD4031447,CIRCULAR,0.45,0,0,0,1, 
SWD41243412,CIRCULAR,0.375,0,0,0,1, 
SMD4001188,CIRCULAR,0.6,0,0,0,1, 
SMD4001189,CIRCULAR,0.6,0,0,0,1, 
SMD4001190,CIRCULAR,0.3,0,0,0,1, 
SMD4005820,CIRCULAR,0.3,0,0,0,1, 
SMD4001200,CIRCULAR,0.2,0,0,0,1, 
SMD4001180,CIRCULAR,0.225,0,0,0,1, 
SWD40316102,CIRCULAR,0.225,0,0,0,1, 
SWD40315291,CIRCULAR,1.35,0,0,0,1, 
SWD40314132,CIRCULAR,1.5,0,0,0,1, 
SBP4002763,RECT_CLOSED,1.75,3.05,0,0,1,3
SBP4013682,RECT_CLOSED,0.9,2.1,0,0,1,3
SBP4013684,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4002765,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4002766,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP40091001,RECT_CLOSED,3,3.6,0,0,1,3
SBP40091004,RECT_CLOSED,3,3.6,0,0,1,3
SBP40091003,RECT_CLOSED,3,3.6,0,0,1,3
SBP40091002,RECT_CLOSED,3,3.6,0,0,1,3
SBP40167801,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP40167802,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4013622,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4009706,RECT_CLOSED,1.1,1.2,0,0,1,3
SBP4009122,RECT_CLOSED,3,3.6,0,0,1,3
SBP4012900,RECT_CLOSED,3,3,0,0,1,3
SBP4013620,RECT_CLOSED,3,3.6,0,0,1,3
SBP4013621,RECT_CLOSED,2.5,3,0,0,1,3
SBP40130601,RECT_CLOSED,3,3.6,0,0,1,3
SBP40130602,RECT_CLOSED,3,3.6,0,0,1,3
SBP4009780,RECT_CLOSED,3,3.6,0,0,1,3
SBP4009800,RECT_CLOSED,3,3.6,0,0,1,3
SBP40098201,RECT_CLOSED,0.9,2.1,0,0,1,3
SBP40098203,RECT_CLOSED,0.9,2.1,0,0,1,3
SBP40098202,RECT_CLOSED,0.9,2.1,0,0,1,3
SBP40098204,RECT_CLOSED,0.9,2.1,0,0,1,3
SBP4013557,RECT_CLOSED,3,3.6,0,0,1,3
SBP4013558,RECT_CLOSED,3,3,0,0,1,3
SBP4013681,RECT_CLOSED,0.9,2.1,0,0,1,3
SBP40136831,RECT_CLOSED,2.5,3,0,0,1,3
SBP40136833,RECT_CLOSED,2.5,3,0,0,1,3
SBP40136832,RECT_CLOSED,2.5,3,0,0,1,3
SBP40027671,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP40027672,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4002762,RECT_CLOSED,1.825,3.05,0,0,1,3
SBP40027681,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP40027683,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP40027682,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4002769,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4002770,RECT_CLOSED,1.75,3.05,0,0,1,3
SBP4002760,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4002764,RECT_CLOSED,1.9,3.05,0,0,1,3
SBP4009083,RECT_CLOSED,2.5,3,0,0,1,3
SBP40091011,RECT_CLOSED,2.5,3,0,0,1,3
SBP40091012,RECT_CLOSED,2.5,3,0,0,1,3
SBP4012880,RECT_CLOSED,3,3.6,0,0,1,3
SBP4012881,RECT_CLOSED,2.5,4.8,0,0,1,3
SBP4009084,RECT_CLOSED,1.75,3.05,0,0,1,3
SBP40091031,RECT_CLOSED,3,3.6,0,0,1,3
SBP40091033,RECT_CLOSED,3,3.6,0,0,1,3
SBP40091034,RECT_CLOSED,3,3.6,0,0,1,3
SBP40091032,RECT_CLOSED,3,3.6,0,0,1,3
SBP4009121,RECT_CLOSED,3,3.6,0,0,1,3
SBP4009082,RECT_CLOSED,3,3.6,0,0,1,3
SBP4009081,RECT_CLOSED,3,2.5,0,0,1,3
SBP40184801,RECT_CLOSED,3,3,0,0,1,3
SBP40184802,RECT_CLOSED,3,3,0,0,1,3
SDP4000100,RECT_CLOSED,3,3,0,0,1,3
SDP4000790,RECT_CLOSED,3,3,0,0,1,3
SDP40016401,RECT_CLOSED,3,3,0,0,1,3
SDP40016402,RECT_CLOSED,3,3,0,0,1,3
SDP4001620,RECT_CLOSED,3,3,0,0,1,3
SDP4001780,RECT_CLOSED,3,2.4,0,0,1,3
SDP4001800,RECT_CLOSED,3,3,0,0,1,3
SDP4001621,RECT_CLOSED,3,3,0,0,1,3
SDP4000785,RECT_CLOSED,3,2.4,0,0,1,3
